Anno;idCustomer;Importo
2023;1;323.800
2023;2;323.800
2023;3;323.800
2023;4;323.800
2023;316;323.800
2023;317;323.800
2023;318;323.800
2023;319;323.800
2023;320;323.800
2023;321;323.800
2023;322;323.800
2023;323;323.800
2023;324;323.800
2023;325;323.800
2023;326;323.800
2023;327;323.800
2023;328;323.800
2023;329;323.800
2023;330;323.800
2023;331;323.800
2023;332;323.800
2023;341;323.800
2023;342;323.800
2023;343;323.800
2023;344;323.800
2023;345;323.800
2023;346;323.800
2023;347;323.800
2023;348;323.800
2023;349;323.800
2023;350;323.800
2023;351;323.800
2023;352;323.800
2023;355;323.800
2023;356;323.800
2023;357;323.800
2023;358;323.800
2023;359;323.800
2023;360;323.800
2023;361;323.800
2023;362;323.800
2023;363;323.800
2023;364;323.800
2023;365;323.800
2023;366;323.800
2023;367;323.800
2023;368;323.800
2023;369;323.800
2023;370;323.800
2023;371;323.800
2023;372;323.800
2023;373;323.800
2023;374;323.800
2023;375;323.800
2023;376;323.800
2023;377;323.800
2023;378;323.800
2023;379;323.800
2023;380;323.800
2023;381;323.800
2023;382;323.800
2023;383;323.800
2023;384;323.800
2023;385;323.800
2023;386;323.800
2023;387;323.800
2023;388;323.800
2023;389;323.800
2023;390;323.800
2023;391;323.800
2023;392;323.800
2023;393;323.800
2023;394;323.800
2023;395;323.800
2023;396;323.800
2023;397;323.800
2023;398;323.800
2023;399;323.800
2023;400;323.800
2023;401;323.800
2023;402;323.800
2023;403;323.800
2023;404;323.800
2023;405;323.800
2023;406;323.800
2023;407;323.800
2023;408;323.800
2023;409;323.800
2023;410;323.800
2023;411;323.800
2023;412;323.800
2023;413;323.800
2023;414;323.800
2023;415;323.800
2023;416;323.800
2023;417;323.800
2023;418;323.800
2023;419;323.800
2023;420;323.800
2023;421;323.800
2023;422;323.800
2023;423;323.800
2023;424;323.800
2023;425;323.800
2023;426;323.800
2023;427;323.800
2023;428;323.800
2023;429;323.800
2023;430;323.800
2023;431;323.800
2023;432;323.800
2023;433;323.800
2023;434;323.800
2023;435;323.800
2023;436;323.800
2023;437;323.800
2023;438;323.800
2023;439;323.800
2023;440;323.800
2023;441;323.800
2023;442;323.800
2023;443;323.800
2023;444;323.800
2023;445;323.800
2023;446;323.800
2023;447;323.800
2023;448;323.800
2023;449;323.800
2023;450;323.800
2023;451;323.800
2023;452;323.800
2023;453;323.800
2023;454;323.800
2023;455;323.800
2023;456;323.800
2023;457;323.800
2023;458;323.800
2023;459;323.800
2023;460;323.800
2023;461;323.800
2023;462;323.800
2023;463;323.800
2023;464;323.800
2023;465;323.800
2023;466;323.800
2023;467;323.800
2023;468;323.800
2023;469;323.800
2023;470;323.800
2023;471;323.800
2023;472;323.800
2023;473;323.800
2023;474;323.800
2023;475;323.800
2023;476;323.800
2023;477;323.800
2023;478;323.800
2023;479;323.800
2023;480;323.800
2023;481;323.800
2023;482;323.800
2023;483;323.800
2023;484;323.800
2023;485;323.800
2023;486;323.800
2023;487;323.800
2023;488;323.800
2023;489;323.800
2023;490;323.800
2023;491;323.800
2023;492;323.800
2023;493;323.800
2023;494;323.800
2023;495;323.800
2023;496;323.800
2023;497;323.800
2023;504;323.800
2023;505;323.800
2023;506;323.800
2023;507;323.800
2023;508;323.800
2023;509;323.800
2023;510;323.800
2023;511;323.800
2023;512;323.800
2023;513;323.800
2023;514;26.668.000
2023;515;29.428.000
2023;516;39.384.000
2023;517;26.668.000
2023;518;29.428.000
2023;519;39.384.000
2023;520;26.668.000
2023;521;29.428.000
2023;522;39.384.000
2023;523;323.800
2023;524;323.800
2023;525;323.800
2023;526;323.800
2023;527;323.800
2023;528;323.800
2023;529;323.800
2023;530;323.800
2023;531;323.800
2023;532;323.800
2023;533;323.800
2023;534;323.800
2023;535;323.800
2023;679;323.800
2023;680;286.300.000
2023;706;286.300.000
2023;707;6.998.000
2023;708;6.998.000
2023;709;1.900.000
2023;710;1.900.000
2023;711;6.998.000
2023;712;1.798.000
2023;713;9.998.000
2023;714;9.998.000
2023;715;9.998.000
2023;716;9.998.000
2023;717;286.300.000
2023;718;286.300.000
2023;719;286.300.000
2023;720;286.300.000
2023;721;286.300.000
2023;722;67.444.000
2023;723;67.444.000
2023;724;67.444.000
2023;725;67.444.000
2023;726;67.444.000
2023;727;67.444.000
2023;728;67.444.000
2023;729;67.444.000
2023;730;67.444.000
2023;731;118.966.000
2023;732;118.966.000
2023;733;118.966.000
2023;734;118.966.000
2023;735;118.966.000
2023;736;67.444.000
2023;737;67.444.000
2023;738;67.444.000
2023;739;272.900.000
2023;740;272.900.000
2023;741;272.900.000
2023;742;272.900.000
2023;743;269.920.000
2023;744;269.920.000
2023;745;269.920.000
2023;746;269.920.000
2023;747;269.920.000
2023;748;272.900.000
2023;749;715.654.000
2023;750;715.654.000
2023;751;715.654.000
2023;752;715.654.000
2023;753;715.654.000
2023;754;291.598.000
2023;755;291.598.000
2023;756;291.598.000
2023;757;291.598.000
2023;758;291.598.000
2023;759;156.598.000
2023;760;156.598.000
2023;761;156.598.000
2023;762;156.598.000
2023;763;156.598.000
2023;764;156.598.000
2023;765;156.598.000
2023;766;156.598.000
2023;767;156.598.000
2023;768;156.598.000
2023;769;156.598.000
2023;770;156.598.000
2023;771;679.998.000
2023;772;679.998.000
2023;773;679.998.000
2023;774;679.998.000
2023;775;674.998.000
2023;776;674.998.000
2023;777;674.998.000
2023;778;674.998.000
2023;779;463.998.000
2023;780;463.998.000
2023;781;463.998.000
2023;782;458.998.000
2023;783;458.998.000
2023;784;458.998.000
2023;785;215.998.000
2023;786;215.998.000
2023;787;215.998.000
2023;788;215.998.000
2023;789;488.670.000
2023;790;488.670.000
2023;791;488.670.000
2023;792;488.670.000
2023;793;488.670.000
2023;794;488.670.000
2023;795;488.670.000
2023;796;488.670.000
2023;797;224.098.000
2023;798;224.098.000
2023;799;224.098.000
2023;800;224.098.000
2023;801;224.098.000
2023;802;29.644.000
2023;803;35.098.000
2023;804;45.898.000
2023;805;6.840.000
2023;806;20.458.000
2023;807;24.946.000
2023;808;8.908.000
2023;809;12.384.000
2023;810;24.054.000
2023;811;8.908.000
2023;812;12.384.000
2023;813;24.054.000
2023;814;69.752.000
2023;815;12.149.000
2023;816;41.805.000
2023;817;60.043.000
2023;818;17.113.000
2023;819;49.677.000
2023;820;66.012.000
2023;821;43.602.000
2023;822;118.966.000
2023;823;17.549.000
2023;824;47.205.000
2023;825;65.443.000
2023;826;22.513.000
2023;827;55.077.000
2023;828;71.412.000
2023;829;49.002.000
2023;830;69.752.000
2023;831;69.752.000
2023;832;69.752.000
2023;833;118.966.000
2023;834;118.966.000
2023;835;118.966.000
2023;836;118.966.000
2023;837;286.300.000
2023;838;286.300.000
2023;839;286.300.000
2023;840;286.300.000
2023;841;11.998.000
2023;842;25.000.000
2023;843;5.000.000
2023;844;3.998.000
2023;845;4.998.000
2023;846;2.798.000
2023;847;6.998.000
2023;848;8.998.000
2023;849;11.998.000
2023;850;11.998.000
2023;851;11.998.000
2023;852;14.998.000
2023;853;14.998.000
2023;854;14.998.000
2023;855;17.998.000
2023;856;17.998.000
2023;857;17.998.000
2023;858;4.898.000
2023;859;4.898.000
2023;860;4.898.000
2023;861;7.598.000
2023;862;7.598.000
2023;863;7.598.000
2023;864;12.700.000
2023;865;12.700.000
